Src	Eqid	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
nc	71449820	1	"Thursday, September  2, 2010 16:07:17 UTC"	40.3183	-124.3982	2.7	15.5	9	offshore Northern California
ci	10791149	2	"Thursday, September  2, 2010 16:04:15 UTC"	33.836	-117.4925	1.4	0	20	"Greater Los Angeles area, California"
ci	10791133	4	"Thursday, September  2, 2010 15:22:23 UTC"	32.7287	-115.9562	1.7	3.9	24	Southern California
uu	9021519	2	"Thursday, September  2, 2010 15:19:53 UTC"	40.9982	-111.6223	1.4	5.2	6	Utah
ci	10791117	4	"Thursday, September  2, 2010 15:12:47 UTC"	34.3095	-116.835	1.1	2.3	20	Southern California
nn	316112	7	"Thursday, September  2, 2010 15:03:19 UTC"	36.1028	-114.784	1.8	0	13	Nevada
ak	10075698	1	"Thursday, September  2, 2010 13:40:59 UTC"	65.0406	-148.7491	2.2	8.5	15	northern Alaska
us	2010asas	6	"Thursday, September  2, 2010 13:28:10 UTC"	-6.7035	-75.963	5	55.3	49	northern Peru
ci	10791085	3	"Thursday, September  2, 2010 12:57:55 UTC"	32.1447	-115.2022	2.6	10	10	"Baja California, Mexico"
ci	10791077	2	"Thursday, September  2, 2010 12:54:06 UTC"	32.715	-115.9487	1.4	5.6	20	Southern California
ci	10791061	5	"Thursday, September  2, 2010 12:46:21 UTC"	32.0827	-115.2148	2.5	10	8	"Baja California, Mexico"
nc	71449780	1	"Thursday, September  2, 2010 12:45:23 UTC"	38.7968	-122.7635	1.8	1.9	29	Northern California
hv	60176181	1	"Thursday, September  2, 2010 12:27:19 UTC"	19.5573	-156.2955	2.1	9.3	28	"Hawaii region, Hawaii"
nc	71449775	0	"Thursday, September  2, 2010 12:22:37 UTC"	36.717	-121.2253	1	7.2	8	Central California
nc	71449770	0	"Thursday, September  2, 2010 12:20:08 UTC"	38.8882	-123.0028	1.3	5	10	Northern California
nc	71449765	1	"Thursday, September  2, 2010 12:17:44 UTC"	38.8342	-122.8007	2.1	2.5	37	Northern California
nc	71449905	2	"Thursday, September  2, 2010 12:05:07 UTC"	40.2888	-121.2063	1.3	3.6	6	Northern California
ci	10791013	2	"Thursday, September  2, 2010 11:22:37 UTC"	32.665	-115.8255	1.2	5.2	12	Southern California
ci	10791005	4	"Thursday, September  2, 2010 11:20:28 UTC"	32.5357	-115.6632	1.5	5.6	11	"Baja California, Mexico"
ak	10075687	1	"Thursday, September  2, 2010 10:44:23 UTC"	61.9869	-149.1216	1.3	33.1	7	Southern Alaska
ak	10075684	1	"Thursday, September  2, 2010 10:20:37 UTC"	61.508	-140.6653	1.5	0.1	13	"Southern Yukon Territory, Canada"
ci	10790997	4	"Thursday, September  2, 2010 09:32:28 UTC"	34.0258	-116.8657	1	13.2	48	Southern California
uu	9020913	2	"Thursday, September  2, 2010 09:13:06 UTC"	41.517	-112.2097	1.1	9.8	27	Utah
nc	71449725	1	"Thursday, September  2, 2010 09:04:09 UTC"	38.8162	-122.784	1.4	1.9	25	Northern California
ak	10075681	1	"Thursday, September  2, 2010 08:44:42 UTC"	61.7574	-149.6774	1.4	35.9	9	Southern Alaska
nc	71449715	0	"Thursday, September  2, 2010 08:24:01 UTC"	38.805	-122.8093	1	2.4	16	Northern California
ci	10790981	4	"Thursday, September  2, 2010 08:21:35 UTC"	32.1497	-115.4015	2	10	14	"Baja California, Mexico"
us	2010asan	8	"Thursday, September  2, 2010 08:01:08 UTC"	0.154	97.1747	4.7	35	23	"Nias region, Indonesia"
nc	71449705	0	"Thursday, September  2, 2010 07:59:15 UTC"	39.3115	-122.8053	2	10.4	13	Northern California
nc	71449860	2	"Thursday, September  2, 2010 07:15:40 UTC"	37.4222	-118.5818	1	11.5	17	Central California
nc	71449700	1	"Thursday, September  2, 2010 07:13:44 UTC"	38.8282	-122.797	2.5	2.6	58	Northern California
ci	10790965	2	"Thursday, September  2, 2010 07:08:34 UTC"	32.2293	-115.3308	1.8	10	7	"Baja California, Mexico"
us	2010asam	6	"Thursday, September  2, 2010 07:08:05 UTC"	52.136	142.1509	4.8	43.5	162	"Sakhalin, Russia"
us	2010asak	7	"Thursday, September  2, 2010 06:57:42 UTC"	22.4642	143.0492	4.7	120.9	60	"Volcano Islands, Japan region"
ak	10075670	1	"Thursday, September  2, 2010 06:47:36 UTC"	61.6527	-150.6358	1.7	0	16	Southern Alaska
ci	10790957	4	"Thursday, September  2, 2010 06:41:01 UTC"	32.7242	-115.9582	1.5	4.1	23	Southern California
ci	10790949	4	"Thursday, September  2, 2010 06:39:35 UTC"	32.721	-115.9573	1.4	4.1	23	Southern California
ci	10790941	4	"Thursday, September  2, 2010 06:24:55 UTC"	33.9125	-118.2877	1.9	16.4	37	"Greater Los Angeles area, California"
ci	10790933	4	"Thursday, September  2, 2010 05:42:34 UTC"	34.0497	-118.9757	2	8	16	"Channel Islands region, California"
nn	316102	7	"Thursday, September  2, 2010 05:39:41 UTC"	38.3627	-115.0723	1.6	7.4	4	Nevada
ci	10790909	2	"Thursday, September  2, 2010 05:13:18 UTC"	34.8427	-120.5133	1.7	2.2	19	Central California
ak	10075660	1	"Thursday, September  2, 2010 05:03:40 UTC"	60.1996	-151.7026	1.8	59.5	19	"Kenai Peninsula, Alaska"
ak	10075659	2	"Thursday, September  2, 2010 05:02:08 UTC"	63.9335	-148.7653	1.4	2.6	15	Central Alaska
uw	9020448	1	"Thursday, September  2, 2010 04:48:39 UTC"	46.636	-122.4953	1.2	17.5	18	Washington
ci	10790893	4	"Thursday, September  2, 2010 04:07:14 UTC"	33.352	-116.3078	1	11.4	35	Southern California
nc	71449640	2	"Thursday, September  2, 2010 03:52:48 UTC"	37.3253	-118.6555	1	15.9	18	Central California
ak	10075655	2	"Thursday, September  2, 2010 03:45:29 UTC"	59.7917	-154.5309	2.3	116.9	9	Southern Alaska
ak	10075656	2	"Thursday, September  2, 2010 03:43:55 UTC"	51.0703	-178.41	2.1	13.2	6	"Andreanof Islands, Aleutian Islands, Alaska"
nc	71449630	2	"Thursday, September  2, 2010 03:06:59 UTC"	37.4713	-118.8423	1.1	7.7	19	Central California
nn	316118	7	"Thursday, September  2, 2010 03:06:22 UTC"	36.1	-114.8255	1.9	9.5	8	Nevada
ci	10790861	4	"Thursday, September  2, 2010 02:34:20 UTC"	32.916	-116.2427	1.2	6.9	43	Southern California
pr	10245000	0	"Thursday, September  2, 2010 01:46:33 UTC"	18.0079	-64.347	3.3	24.8	6	Virgin Islands region
ci	10790845	3	"Thursday, September  2, 2010 01:40:28 UTC"	32.0733	-115.122	1.9	10	5	"Baja California, Mexico"
ci	10790837	2	"Thursday, September  2, 2010 01:18:46 UTC"	32.2197	-115.2907	2.4	10	10	"Baja California, Mexico"
ci	10790829	4	"Thursday, September  2, 2010 01:10:34 UTC"	33.154	-116.0035	2.6	12	104	Southern California
nc	71449600	0	"Thursday, September  2, 2010 01:09:44 UTC"	38.7685	-122.707	1.1	2.4	13	Northern California
nc	71449595	0	"Thursday, September  2, 2010 01:08:03 UTC"	38.769	-122.71	1.3	2.2	16	Northern California
us	2010asaf	6	"Thursday, September  2, 2010 00:57:19 UTC"	2.4346	95.9613	4.8	13.2	35	"Simeulue, Indonesia"
ci	10790813	2	"Thursday, September  2, 2010 00:47:43 UTC"	32.503	-115.642	1.9	5.7	18	"Baja California, Mexico"
nc	71449580	3	"Thursday, September  2, 2010 00:33:38 UTC"	38.772	-122.713	2.1	2.2	49	Northern California
ci	10790797	4	"Thursday, September  2, 2010 00:17:28 UTC"	33.7423	-117.474	1.4	9.1	34	Southern California
us	2010asac	6	"Thursday, September  2, 2010 00:16:40 UTC"	12.7594	92.6421	5.1	30.1	40	"Andaman Islands, India region"
uw	9020011	1	"Thursday, September  2, 2010 00:11:25 UTC"	46.4889	-122.4048	1	21.4	15	Washington
uu	9012327	2	"Wednesday, September  1, 2010 23:27:53 UTC"	44.634	-110.3445	1.2	2.2	19	"Yellowstone National Park, Wyoming"
ci	10790789	4	"Wednesday, September  1, 2010 23:10:25 UTC"	34.0115	-117.1965	1.2	9.3	47	"Greater Los Angeles area, California"
nc	71449570	0	"Wednesday, September  1, 2010 23:08:54 UTC"	36.497	-121.0733	1.6	3.7	14	Central California
uw	9012250	1	"Wednesday, September  1, 2010 22:50:07 UTC"	47.8576	-122.7389	1.6	19.9	25	"Puget Sound region, Washington"
hv	60176061	1	"Wednesday, September  1, 2010 22:47:26 UTC"	19.3255	-155.1455	2.4	5.5	37	"Island of Hawaii, Hawaii"
ci	10790781	4	"Wednesday, September  1, 2010 22:44:26 UTC"	32.9182	-116.2383	1	7.7	28	Southern California
nc	71449565	0	"Wednesday, September  1, 2010 22:26:51 UTC"	38.7987	-122.7368	1.2	1.1	10	Northern California
ak	10075552	1	"Wednesday, September  1, 2010 21:39:23 UTC"	59.9362	-152.3578	1.6	46.8	10	Southern Alaska
us	2010arci	6	"Wednesday, September  1, 2010 21:37:15 UTC"	-17.6395	-178.417	4.8	536.3	48	Fiji region
ci	10790757	4	"Wednesday, September  1, 2010 20:21:12 UTC"	32.5148	-115.6465	2.7	5.6	28	"Baja California, Mexico"
uu	9012016	2	"Wednesday, September  1, 2010 20:16:26 UTC"	44.0705	-110.693	1.1	6.8	8	Wyoming
uw	9012014	1	"Wednesday, September  1, 2010 20:14:19 UTC"	46.8723	-121.7388	1.1	1.3	8	"Mount Rainier area, Washington"
ak	10075544	1	"Wednesday, September  1, 2010 19:44:31 UTC"	60.7036	-152.0047	2.3	91.9	29	Southern Alaska
ak	10075542	2	"Wednesday, September  1, 2010 19:40:56 UTC"	61.4226	-141.1568	1.8	13.9	11	Southern Alaska
nc	71449520	0	"Wednesday, September  1, 2010 19:29:09 UTC"	38.8052	-122.7978	1.4	3.1	22	Northern California
nc	71449505	6	"Wednesday, September  1, 2010 19:27:33 UTC"	38.8055	-122.7982	2.4	3.4	61	Northern California
nc	71449485	0	"Wednesday, September  1, 2010 19:02:58 UTC"	38.812	-122.7428	1.3	2.3	23	Northern California
ci	10790725	6	"Wednesday, September  1, 2010 18:52:50 UTC"	34.2843	-116.9435	1.1	8.2	11	Southern California
ci	10790717	4	"Wednesday, September  1, 2010 18:37:38 UTC"	33.8515	-117.7887	1.8	8	33	"Greater Los Angeles area, California"
mb	25727	1	"Wednesday, September  1, 2010 18:11:25 UTC"	44.7686	-112.7943	1.2	7.1	6	western Montana
ci	10790701	4	"Wednesday, September  1, 2010 17:58:13 UTC"	32.2415	-115.2875	2.2	10	13	"Baja California, Mexico"
ak	10075459	1	"Wednesday, September  1, 2010 17:55:17 UTC"	63.5926	-150.7766	1.5	0	8	Central Alaska
ci	10790693	2	"Wednesday, September  1, 2010 17:49:16 UTC"	32.5052	-115.651	1.8	7	15	"Baja California, Mexico"
uw	9011740	1	"Wednesday, September  1, 2010 17:40:32 UTC"	48.2566	-124.3973	1	10.6	8	"Olympic Peninsula, Washington"
ci	10790685	2	"Wednesday, September  1, 2010 17:36:06 UTC"	32.5368	-115.6502	1.5	7	16	"Baja California, Mexico"
ci	10790677	4	"Wednesday, September  1, 2010 17:32:28 UTC"	32.1982	-115.278	2.3	10	9	"Baja California, Mexico"
nn	316071	7	"Wednesday, September  1, 2010 17:32:03 UTC"	36.0253	-114.7292	1.9	0.1	12	Nevada
nc	71449470	0	"Wednesday, September  1, 2010 17:22:23 UTC"	38.736	-122.664	1.4	0	8	Northern California
ci	10790669	6	"Wednesday, September  1, 2010 17:19:13 UTC"	32.6578	-115.9112	2.7	7	30	Southern California
ak	10075456	1	"Wednesday, September  1, 2010 17:02:58 UTC"	60.6459	-142.5428	1.5	0.1	18	Southern Alaska
ci	10790661	4	"Wednesday, September  1, 2010 17:00:04 UTC"	33.972	-118.3573	2	10.6	30	"Greater Los Angeles area, California"
uw	9011655	1	"Wednesday, September  1, 2010 16:55:49 UTC"	48.5278	-121.6849	1	15.8	4	Washington
ci	10790637	6	"Wednesday, September  1, 2010 16:54:38 UTC"	32.6887	-115.8908	1.4	4.6	18	Southern California
ci	10790645	5	"Wednesday, September  1, 2010 16:52:34 UTC"	32.4097	-115.4312	1.8	10	9	"Baja California, Mexico"
us	2010arby	Q	"Wednesday, September  1, 2010 16:42:29 UTC"	-4.7615	102.009	4.4	54.2	14	"southern Sumatra, Indonesia"
ak	10075454	1	"Wednesday, September  1, 2010 16:38:08 UTC"	60.8124	-146.8197	1.7	20.8	18	Southern Alaska
ak	10075452	1	"Wednesday, September  1, 2010 16:33:51 UTC"	63.186	-149.2159	1.5	85.3	12	Central Alaska
hv	60176016	1	"Wednesday, September  1, 2010 16:07:28 UTC"	19.3268	-154.8802	2.4	41.7	44	"Hawaii region, Hawaii"
nc	71449430	0	"Wednesday, September  1, 2010 16:05:49 UTC"	38.8393	-122.829	1.3	2.8	16	Northern California
ci	10790629	4	"Wednesday, September  1, 2010 15:40:13 UTC"	32.6772	-115.8542	1.5	5.4	19	Southern California
ci	10790621	4	"Wednesday, September  1, 2010 15:39:15 UTC"	32.6797	-115.8802	1	6.8	15	Southern California
nn	316063	7	"Wednesday, September  1, 2010 15:09:24 UTC"	36.1163	-114.8227	1.8	0	13	Nevada
us	2010arbw	Q	"Wednesday, September  1, 2010 14:34:40 UTC"	-17.9861	167.4552	4.8	35	13	Vanuatu
ak	10075450	2	"Wednesday, September  1, 2010 14:12:12 UTC"	52.8543	-167.3707	2.2	25.7	11	"Fox Islands, Aleutian Islands, Alaska"
ci	10790589	2	"Wednesday, September  1, 2010 14:04:34 UTC"	32.0675	-115.0883	2.3	10	6	"Baja California, Mexico"
ak	10075448	2	"Wednesday, September  1, 2010 14:04:22 UTC"	52.6752	-169.428	2.7	3	11	"Fox Islands, Aleutian Islands, Alaska"
ci	10790581	4	"Wednesday, September  1, 2010 14:02:40 UTC"	32.6092	-115.738	1.8	2.6	18	"Baja California, Mexico"
ci	10790573	6	"Wednesday, September  1, 2010 13:40:33 UTC"	33.2855	-116.2423	1.1	5.5	42	Southern California
uu	9011333	2	"Wednesday, September  1, 2010 13:33:02 UTC"	39.7192	-110.6148	1.8	4.6	28	Utah
ci	10790557	2	"Wednesday, September  1, 2010 13:06:44 UTC"	33.159	-115.6285	1.1	0.1	14	Southern California
ak	10075445	1	"Wednesday, September  1, 2010 13:02:13 UTC"	62.5936	-151.1318	1.9	75.8	18	Central Alaska
ci	10790541	4	"Wednesday, September  1, 2010 13:01:47 UTC"	32.9168	-116.2458	1.5	7.3	37	Southern California
ci	10790533	4	"Wednesday, September  1, 2010 12:49:33 UTC"	33.5098	-116.4487	1.4	7.6	46	Southern California
nc	71449395	0	"Wednesday, September  1, 2010 12:47:48 UTC"	38.7882	-122.7432	1.4	2.1	20	Northern California
nc	71449390	0	"Wednesday, September  1, 2010 12:31:52 UTC"	38.7982	-122.7365	1.1	0	12	Northern California
ci	10790525	2	"Wednesday, September  1, 2010 12:25:25 UTC"	32.2855	-115.3182	2.1	10	12	"Baja California, Mexico"
us	2010ara7	6	"Wednesday, September  1, 2010 12:24:50 UTC"	-6.1093	147.616	4.7	66.8	12	"eastern New Guinea region, Papua New Guinea"
ak	10075442	2	"Wednesday, September  1, 2010 12:22:45 UTC"	51.8699	-173.4245	2.6	54.4	7	"Andreanof Islands, Aleutian Islands, Alaska"
ci	10790517	4	"Wednesday, September  1, 2010 12:15:34 UTC"	33.4462	-116.5857	1.7	10.2	69	Southern California
nc	71449385	0	"Wednesday, September  1, 2010 11:59:12 UTC"	38.8253	-122.8033	1	2.7	17	Northern California
nc	71449375	2	"Wednesday, September  1, 2010 11:53:09 UTC"	38.0747	-118.9633	1.5	2.3	20	Central California
ak	10075441	2	"Wednesday, September  1, 2010 11:43:05 UTC"	63.4576	-146.5544	1.2	25.1	8	Central Alaska
nc	71449360	0	"Wednesday, September  1, 2010 11:35:47 UTC"	38.8147	-122.7847	1.1	1.3	14	Northern California
us	2010ara6	6	"Wednesday, September  1, 2010 11:13:49 UTC"	2.6849	95.4612	4.4	27.4	21	"Simeulue, Indonesia"
nc	71449345	1	"Wednesday, September  1, 2010 11:05:39 UTC"	36.8593	-121.5928	1.5	5.3	24	Central California
ci	10790501	4	"Wednesday, September  1, 2010 11:00:56 UTC"	33.8345	-116.9103	1.5	13.2	61	Southern California
pr	10244002	0	"Wednesday, September  1, 2010 10:40:43 UTC"	18.1949	-68.5699	3.2	125.9	10	"Mona Passage, Dominican Republic"
ak	10075436	1	"Wednesday, September  1, 2010 10:28:33 UTC"	60.5078	-149.3396	1.7	1.4	17	"Kenai Peninsula, Alaska"
ak	10075432	1	"Wednesday, September  1, 2010 09:06:31 UTC"	60.3762	-147.7503	2	16.3	17	Southern Alaska
nc	71449325	3	"Wednesday, September  1, 2010 08:56:06 UTC"	35.997	-120.5568	2.1	10.8	61	Central California
ak	10075429	1	"Wednesday, September  1, 2010 08:56:00 UTC"	62.1	-148.3359	2.1	29.2	29	Central Alaska
hv	60175971	1	"Wednesday, September  1, 2010 07:57:14 UTC"	19.3912	-155.457	1.8	8.5	43	"Island of Hawaii, Hawaii"
nc	71449305	0	"Wednesday, September  1, 2010 07:39:35 UTC"	39.311	-122.8058	1.8	10.4	7	Northern California
ci	10790461	4	"Wednesday, September  1, 2010 07:37:23 UTC"	32.679	-115.8357	1.1	5	20	Southern California
ci	10790453	4	"Wednesday, September  1, 2010 07:36:01 UTC"	32.6783	-115.8773	1.3	8	29	Southern California
us	2010arat	6	"Wednesday, September  1, 2010 07:32:53 UTC"	37.9697	141.7565	5	38.4	65	"near the east coast of Honshu, Japan"
nm	hnw0901b	A	"Wednesday, September  1, 2010 07:27:13 UTC"	35.3276	-92.3572	1.1	4.7	3	Arkansas
nm	hnw0901a	A	"Wednesday, September  1, 2010 07:26:33 UTC"	35.33	-92.34	1	4.2	5	Arkansas
ak	10075421	1	"Wednesday, September  1, 2010 07:02:24 UTC"	60.1967	-152.5528	1.7	91.8	13	Southern Alaska
nc	71449300	0	"Wednesday, September  1, 2010 06:51:38 UTC"	36.8558	-121.592	1	5	15	Central California
ak	10075416	2	"Wednesday, September  1, 2010 06:02:12 UTC"	52.666	-169.1419	2	1.4	6	"Fox Islands, Aleutian Islands, Alaska"
nc	71449285	2	"Wednesday, September  1, 2010 06:02:03 UTC"	37.3228	-118.6528	1.1	16.4	15	Central California
nc	71449280	5	"Wednesday, September  1, 2010 05:58:35 UTC"	36.857	-121.5953	3.2	6.8	88	Central California
ak	10075414	2	"Wednesday, September  1, 2010 05:47:48 UTC"	52.7788	-169.5397	2.7	2.9	10	"Fox Islands, Aleutian Islands, Alaska"
pr	10244001	0	"Wednesday, September  1, 2010 05:41:37 UTC"	18.5499	-68.6409	4.2	163	18	Dominican Republic
ak	10075412	1	"Wednesday, September  1, 2010 05:09:59 UTC"	62.5809	-151.1661	2.1	84.3	22	Central Alaska
nc	71449265	3	"Wednesday, September  1, 2010 04:46:16 UTC"	35.5385	-120.7615	2.2	1.6	72	Central California
nc	71449260	0	"Wednesday, September  1, 2010 04:40:30 UTC"	38.82	-122.8472	1.2	0.6	14	Northern California
nc	71449255	0	"Wednesday, September  1, 2010 04:34:43 UTC"	38.8208	-122.8447	1.5	0	15	Northern California
