tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:07:10:11:00.00	16.4		g	-80.6	2.518e-07	14	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	6.330e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:07:11:53:00.00	20.0		g	-47.2	6.738e-08	15	4	u	2.730e+02	SAN	0	0	0	0	6.330e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:07:13:42:00.00	19.7		g	-44.3	6.038e-08	16	4	u	2.730e+02	SAN	0	0	0	0	6.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:10:08:26:00.00	14.9		g	-80.3	2.262e-07	17	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	6.030e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:10:10:10:00.00	15.4		g	-81.7	2.705e-07	18	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	6.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:10:11:56:00.00	18.7		g	-83.2	2.972e-07	19	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	6.880e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:10:13:45:00.00	21.5		g	-58.2	7.437e-08	20	4	u	2.730e+02	SAN	0	0	0	0	6.880e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	1.1	2011:10:11:10:21:00.00	19.4		g	-47.9	5.603e-08	21	4	u	2.730e+02	SAN	0	0	0	0	7.130e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:11:12:08:00.00	7.9		g	-84.3	2.696e-07	22	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	6.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:11:13:57:00.00	19.9		g	-84.2	3.245e-07	23	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.130e+02
