tab	er_sites					
er_citation_names	er_location_name	er_site_name	site_class	site_lithology	site_lat	site_lon
This study	Agrokipia;	ak2l0201	Archeologic	Not Specified	35.09	32.885
This study	Agrokipia;	ak2l0202	Archeologic	Not Specified	35.09	32.885
This study	Mitsero Kokkinoyia	mk100401	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100402	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100502	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100601	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100702	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100703	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk100802	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101001	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101401	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101402	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101601	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101602	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk101901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102201	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102401	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102502	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102503	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102601	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk102901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103001	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103002	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103302	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk103502	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk104101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk104301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk104701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk104801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105201	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105202	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105601	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105702	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105703	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk105901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106102	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106103	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106402	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk106901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107001	Archeologic	Not Specified	35.04213	33.10665
