tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su102501g	su102501	su1l504	ATRM	LP-AN-TRM:AE-H	su102501g:ATRM	Critical F: 3.1059	0.360857	0.348205	0.290939	19.312575	1.392083	28.518456	57.4	50.0	330.6	-2.7	62.8	-39.9
su109702b	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702b:ATRM	Critical F: 3.1059	0.403763	0.379185	0.217052	208.518975	7.649493	332.862992	56.2	6.4	148.5	19.7	309.0	69.2
su109702c	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702c:ATRM	Critical F: 3.1059	0.422339	0.393938	0.183723	101.751505	3.019457	165.415983	271.2	44.2	23.9	21.6	131.9	37.9
su109702a	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702a:ATRM	Critical F: 3.1059	0.394444	0.392195	0.213361	64.811807	0.018975	119.994335	257.3	29.3	128.5	48.2	183.8	-27.0
su109702f	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702f:ATRM	Critical F: 3.1059	0.411327	0.393120	0.195553	182.341044	2.638301	310.624019	149.9	32.8	66.1	-9.6	350.3	55.5
su109702d	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702d:ATRM	Critical F: 3.1059	0.382565	0.361687	0.255749	14.873324	0.876387	22.564191	25.4	-34.1	318.1	29.8	78.6	41.5
su109702e	su109702	su1l204	ATRM	LP-AN-TRM:AE-H	su109702e:ATRM	Critical F: 3.1059	0.407001	0.387721	0.205278	222.471762	4.171119	373.493539	302.7	24.0	156.7	61.7	39.1	14.0
su100501a	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501a:ATRM	Critical F: 3.1059	0.428666	0.410046	0.161288	58.704456	0.570761	101.874754	10.4	5.7	177.8	84.1	100.3	-1.3
su100501a	su100501	su1l003	AARM	LP-AN-ARM:AE-H	su100501a:AARM	Critical F: 2.6848	0.383091	0.375510	0.241399	47.362666	0.267820	83.799748	10.4	-5.1	357.9	84.8	100.3	1.1
su100501b	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501b:ATRM	Critical F: 3.1059	0.453902	0.304972	0.241126	107.685071	125.217222	23.012358	108.2	30.2	32.4	-22.8	333.2	50.6
su100501c	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501c:ATRM	Critical F: 3.1059	0.444514	0.288001	0.267485	99.798088	162.960581	2.799937	35.5	-72.2	69.7	14.9	337.1	9.5
su100501d	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501d:ATRM	Critical F: 3.1059	0.425893	0.401020	0.173087	116.667886	2.323749	195.134225	136.8	-45.1	240.1	-12.9	342.0	-42.1
su100501d	su100501	su1l003	AARM	LP-AN-ARM:AE-H	su100501d:AARM	Critical F: 2.6848	0.392651	0.373560	0.233790	46.592123	1.410795	75.620640	281.9	26.0	35.2	39.0	167.9	39.9
su100501e	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501e:ATRM	Critical F: 3.1059	0.440171	0.426796	0.133033	249.486528	0.925669	446.530937	19.5	-37.2	67.4	41.4	131.5	-26.3
su100501e	su100501	su1l003	AARM	LP-AN-ARM:AE-H	su100501e:AARM	Critical F: 2.6848	0.397660	0.376931	0.225409	30.551790	0.927783	49.574882	179.0	47.5	58.1	25.3	311.2	31.6
su100501f	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501f:ATRM	Critical F: 3.1059	0.424373	0.406970	0.168657	11.020330	0.102189	19.161579	127.7	-10.1	41.6	20.6	13.2	-66.8
su100501g	su100501	su1l003	ATRM	LP-AN-TRM:AE-H	su100501g:ATRM	Critical F: 3.1059	0.464117	0.370064	0.165819	8.000131	1.901796	8.968519	16.1	27.1	262.8	37.8	131.8	40.3
su100902e	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902e:ATRM	Critical F: 3.1059	0.391695	0.375253	0.233052	30.444333	0.675952	50.561001	49.9	-17.0	91.9	67.6	144.3	-14.1
su100902d	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902d:ATRM	Critical F: 3.1059	0.407659	0.348681	0.243660	135.459995	42.676837	135.316832	262.7	25.3	358.9	12.9	113.5	61.2
su100902g	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902g:ATRM	Critical F: 3.1059	0.426408	0.400215	0.173377	126.505873	2.801664	210.132952	256.6	45.8	168.4	-1.8	260.2	-44.2
