tab	er_samples
er_citation_names	er_location_name	er_site_name	er_sample_name	sample_class	sample_lithology	sample_dip	sample_azimuth	sample_declination_correction	sample_height
This study	Mitsero Kokkinoyia	mk107001	mk107001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107101	mk107101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107102	mk107102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107501	mk107501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107502	mk107502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107601	mk107601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107701	mk107701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107801	mk107801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107901	mk107901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107902	mk107902	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108001	mk108001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108101	mk108101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108102	mk108102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108401	mk108401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108402	mk108402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108501	mk108501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108502	mk108502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108801	mk108801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108802	mk108802	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk109301	mk109301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk1l3901	mk1l3901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk1l3902	mk1l3902	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Kokinorotsos	pk1l0102	pk1l0102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Kokinorotsos	pk1l0103	pk1l0103	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Kokinorotsos	pk1l0104	pk1l0104	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Kokinorotsos	pk1l0105	pk1l0105	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Phorades	pp1l0001	pp1l0001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Politiko Phorades	pp1l0002	pp1l0002	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100101	sp100101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100102	sp100102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100103	sp100103	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100201	sp100201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100301	sp100301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100302	sp100302	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100303	sp100303	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100501	sp100501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100502	sp100502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100601	sp100601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100602	sp100602	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100603	sp100603	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100701	sp100701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100702	sp100702	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100801	sp100801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100802	sp100802	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100803	sp100803	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100804	sp100804	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100901	sp100901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100902	sp100902	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100903	sp100903	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp100904	sp100904	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101001	sp101001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101002	sp101002	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101003	sp101003	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101101	sp101101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101102	sp101102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101103	sp101103	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101104	sp101104	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101201	sp101201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101202	sp101202	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101203	sp101203	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101301	sp101301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101302	sp101302	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101901	sp101901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101902	sp101902	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp101903	sp101903	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102001	sp102001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102002	sp102002	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102101	sp102101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102105	sp102105	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102201	sp102201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102202	sp102202	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102203	sp102203	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102204	sp102204	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102301	sp102301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102302	sp102302	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102303	sp102303	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102304	sp102304	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102305	sp102305	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102601	sp102601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102602	sp102602	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102701	sp102701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102702	sp102702	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102703	sp102703	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp102704	sp102704	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103001	sp103001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103002	sp103002	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103003	sp103003	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103004	sp103004	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103101	sp103101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103102	sp103102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103201	sp103201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103202	sp103202	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103301	sp103301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103302	sp103302	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103303	sp103303	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103401	sp103401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 1	sp103402	sp103402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 2	sp200101	sp200101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Phoenix 2	sp200301	sp200301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Skouriotissa Vouppes	su100201	su100201	Archeologic	Not Specified	0	0	0	18.150
This study	Skouriotissa Vouppes	su100202	su100202	Archeologic	Not Specified	0	0	0	18.150
This study	Skouriotissa Vouppes	su100203	su100203	Archeologic	Not Specified	0	0	0	18.150
This study	Skouriotissa Vouppes	su100301	su100301	Archeologic	Not Specified	0	0	0	18.147
This study	Skouriotissa Vouppes	su100501	su100501	Archeologic	Not Specified	0	0	0	17.645
This study	Skouriotissa Vouppes	su100601	su100601	Archeologic	Not Specified	0	0	0	17.529
This study	Skouriotissa Vouppes	su100901	su100901	Archeologic	Not Specified	0	0	0	17.431
This study	Skouriotissa Vouppes	su100902	su100902	Archeologic	Not Specified	0	0	0	17.431
This study	Skouriotissa Vouppes	su101001	su101001	Archeologic	Not Specified	0	0	0	17.592
This study	Skouriotissa Vouppes	su101201	su101201	Archeologic	Not Specified	0	0	0	17.211
This study	Skouriotissa Vouppes	su101501	su101501	Archeologic	Not Specified	0	0	0	4.623
This study	Skouriotissa Vouppes	su101701	su101701	Archeologic	Not Specified	0	0	0	4.569
This study	Skouriotissa Vouppes	su101801	su101801	Archeologic	Not Specified	0	0	0	4.726
This study	Skouriotissa Vouppes	su102201	su102201	Archeologic	Not Specified	0	0	0	5.610
This study	Skouriotissa Vouppes	su102301	su102301	Archeologic	Not Specified	0	0	0	5.399
This study	Skouriotissa Vouppes	su102401	su102401	Archeologic	Not Specified	0	0	0	5.668
This study	Skouriotissa Vouppes	su102501	su102501	Archeologic	Not Specified	0	0	0	5.543
This study	Skouriotissa Vouppes	su102801	su102801	Archeologic	Not Specified	0	0	0	6.205
This study	Skouriotissa Vouppes	su102901	su102901	Archeologic	Not Specified	0	0	0	6.385
This study	Skouriotissa Vouppes	su102902	su102902	Archeologic	Not Specified	0	0	0	6.385
This study	Skouriotissa Vouppes	su103201	su103201	Archeologic	Not Specified	0	0	0	2.412
This study	Skouriotissa Vouppes	su103502	su103502	Archeologic	Not Specified	0	0	0	3.484
This study	Skouriotissa Vouppes	su103503	su103503	Archeologic	Not Specified	0	0	0	3.484
This study	Skouriotissa Vouppes	su104101	su104101	Archeologic	Not Specified	0	0	0	3.986
This study	Skouriotissa Vouppes	su104701	su104701	Archeologic	Not Specified	0	0	0	4.680
This study	Skouriotissa Vouppes	su105001	su105001	Archeologic	Not Specified	0	0	0	6.169
This study	Skouriotissa Vouppes	su105101	su105101	Archeologic	Not Specified	0	0	0	6.641
This study	Skouriotissa Vouppes	su105301	su105301	Archeologic	Not Specified	0	0	0	6.597
This study	Skouriotissa Vouppes	su105501	su105501	Archeologic	Not Specified	0	0	0	7.515
This study	Skouriotissa Vouppes	su106801	su106801	Archeologic	Not Specified	0	0	0	0.114
This study	Skouriotissa Vouppes	su106802	su106802	Archeologic	Not Specified	0	0	0	0.114
This study	Skouriotissa Vouppes	su106901	su106901	Archeologic	Not Specified	0	0	0	16.267
This study	Skouriotissa Vouppes	su107101	su107101	Archeologic	Not Specified	0	0	0	15.941
This study	Skouriotissa Vouppes	su107103	su107103	Archeologic	Not Specified	0	0	0	15.941
This study	Skouriotissa Vouppes	su107201	su107201	Archeologic	Not Specified	0	0	0	15.692
This study	Skouriotissa Vouppes	su107202	su107202	Archeologic	Not Specified	0	0	0	15.692
This study	Skouriotissa Vouppes	su107501	su107501	Archeologic	Not Specified	0	0	0	15.074
This study	Skouriotissa Vouppes	su107502	su107502	Archeologic	Not Specified	0	0	0	15.074
This study	Skouriotissa Vouppes	su107601	su107601	Archeologic	Not Specified	0	0	0	15.333
