tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lithology	sample_type
This study	Leg 17	169	Hole= 169 - Core= 17 - Section= 1 - cm= 111	0169x171111	0169x	SP-SS-C	Igneous : Extrusive : Submarine	104.11	Basalt	pillow : glassy margin
This study	Leg 17	169	Hole= 169 - Core= 17 - Section= 1 - cm= 121	0169x171121	0169x	SP-SS-C	Igneous : Extrusive : Submarine	104.21	Basalt	pillow : glassy margin
This study	Leg 21	205	Hole= 205 - Core= 31 - Section= 1 - cm= 32	0205x311p01	0205x	SP-SS-C	Igneous : Extrusive : Submarine	337.32	Basalt	pillow : glassy margin
This study	Leg 21	205	Hole= 205 - Core= 31 - Section= 1 - cm= 51	0205x311p02	0205x	SP-SS-C	Igneous : Extrusive : Submarine	337.51	Basalt	pillow : glassy margin
This study	Leg 24	231	Hole= 231 - Core= 64 - Section= 1 - cm= 0	0231x641000	0231x	SP-SS-C	Igneous : Extrusive : Submarine	574.5	Basalt	pillow : glassy margin
This study	Leg 24	231	Hole= 231 - Core= 64 - Section= 2 - cm= 0	0231x642000	0231x	SP-SS-C	Igneous : Extrusive : Submarine	576	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 55 - Section= 1 - cm= 0	0238x551xxx	0238x	SP-SS-C	Igneous : Extrusive : Submarine	506	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 55 - Section= 2 - cm= 0	0238x552xxx	0238x	SP-SS-C	Igneous : Extrusive : Submarine	507.5	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 56 - Section= 2 - cm= 49	0238x562049	0238x	SP-SS-C	Igneous : Extrusive : Submarine	517.49	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 56 - Section= 3 - cm= 26	0238x563026	0238x	SP-SS-C	Igneous : Extrusive : Submarine	518.76	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 57 - Section= 2 - cm= 106	0238x572106	0238x	SP-SS-C	Igneous : Extrusive : Submarine	527.56	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 58 - Section= 2 - cm= 104	0238x582104	0238x	SP-SS-C	Igneous : Extrusive : Submarine	534.04	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 59 - Section= 2 - cm= 77	0238x592077	0238x	SP-SS-C	Igneous : Extrusive : Submarine	541.27	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 60 - Section= 1 - cm= 104	0238x601104	0238x	SP-SS-C	Igneous : Extrusive : Submarine	548.54	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 60 - Section= 2 - cm= 131	0238x602131	0238x	SP-SS-C	Igneous : Extrusive : Submarine	550.31	Basalt	pillow : glassy margin
This study	Leg 24	238	Hole= 238 - Core= 60 - Section= 4 - cm= 57	0238x604057	0238x	SP-SS-C	Igneous : Extrusive : Submarine	552.57	Basalt	pillow : glassy margin
This study	Leg 35	322	Hole= 322 - Core= 12 - Section= 8 - cm= 0	0322x12c000	0322x	SP-SS-C	Igneous : Extrusive : Submarine	524	Basalt	pillow : glassy margin
This study	Leg 35	322	Hole= 322 - Core= 13 - Section= 8 - cm= 0	0322x13c000	0322x	SP-SS-C	Igneous : Extrusive : Submarine	543	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 7 - Section= 1 - cm= 0	0332a071000	0332a	SP-SS-C	Igneous : Extrusive : Submarine	111.5	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 8 - Section= 1 - cm= 60	0332a081p07	0332a	SP-SS-C	Igneous : Extrusive : Submarine	121.6	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 15 - Section= 1 - cm= 65	0332a151p02	0332a	SP-SS-C	Igneous : Extrusive : Submarine	188.15	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 18 - Section= 1 - cm= 0	0332a181000	0332a	SP-SS-C	Igneous : Extrusive : Submarine	216	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 22 - Section= 1 - cm= 20	0332a221p02	0332a	SP-SS-C	Igneous : Extrusive : Submarine	254.2	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 26 - Section= 1 - cm= 55	0332a261p05	0332a	SP-SS-C	Igneous : Extrusive : Submarine	254.55	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 26 - Section= 2 - cm= 30	0332a262p03	0332a	SP-SS-C	Igneous : Extrusive : Submarine	293.8	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 26 - Section= 2 - cm= 40	0332a262p04	0332a	SP-SS-C	Igneous : Extrusive : Submarine	293.9	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 29 - Section= 1 - cm= 60	0332a291p15	0332a	SP-SS-C	Igneous : Extrusive : Submarine	321.1	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332a - Core= 40 - Section= 1 - cm= 20	0332a401p05	0332a	SP-SS-C	Igneous : Extrusive : Submarine	425.2	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332b - Core= 26 - Section= 2 - cm= 27	0332b262p04	0332b	SP-SS-C	Igneous : Extrusive : Submarine	504.77	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332b - Core= 35 - Section= 3 - cm= 70	0332b353p03	0332b	SP-SS-C	Igneous : Extrusive : Submarine	592.2	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332b - Core= 43 - Section= 2 - cm= 25	0332b432p02	0332b	SP-SS-C	Igneous : Extrusive : Submarine	666.25	Basalt	pillow : glassy margin
This study	Leg 37	332	Hole= 332b - Core= 48 - Section= 1 - cm= 75	0332b481p06	0332b	SP-SS-C	Igneous : Extrusive : Submarine	712.75	Basalt	pillow : glassy margin
This study	Leg 37	334	Hole= 334 - Core= 17 - Section= 1 - cm= 5	0334x171p01	0334x	SP-SS-C	Igneous : Extrusive : Submarine	281.55	Basalt	pillow : glassy margin
This study	Leg 37	334	Hole= 334 - Core= 18 - Section= 1 - cm= 78	0334x181p04	0334x	SP-SS-C	Igneous : Extrusive : Submarine	272.78	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 5 - Section= 2 - cm= 129	0335x052129	0335x	SP-SS-C	Igneous : Extrusive : Submarine	450.79	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 6 - Section= 1 - cm= 42	0335x061042	0335x	SP-SS-C	Igneous : Extrusive : Submarine	457.92	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 6 - Section= 2 - cm= 97	0335x062097	0335x	SP-SS-C	Igneous : Extrusive : Submarine	459.97	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 6 - Section= 3 - cm= 21	0335x063021	0335x	SP-SS-C	Igneous : Extrusive : Submarine	460.71	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 6 - Section= 3 - cm= 60	0335x063060	0335x	SP-SS-C	Igneous : Extrusive : Submarine	461.1	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 6 - Section= 4 - cm= 91	0335x064091	0335x	SP-SS-C	Igneous : Extrusive : Submarine	462.91	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 7 - Section= 2 - cm= 2	0335x072002	0335x	SP-SS-C	Igneous : Extrusive : Submarine	468.52	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 9 - Section= 1 - cm= 58	0335x091058	0335x	SP-SS-C	Igneous : Extrusive : Submarine	486.58	Basalt	pillow : glassy margin
