tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	McMurdo	mc205h	mc205	mc205h1	mc205h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.827	0.070	0.129	u	4.9	304.1		l	4.5	1.2	0.789	0.744	0.9		-23.5	5.4802e-05	4.5	9	5	3.000e-05	8	9.3	0.9656	-1
l	unknown	This study	McMurdo	mc205i	mc205	mc205i2	mc205i2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.542	0.072	0.111	u	7.2	309.5		l	12.0	10.6	0.778	0.736	2.6		-17.5	4.6272e-05	6.5	9	5	3.000e-05	5	9.1	0.9643	-1
l	unknown	This study	McMurdo	mc205k	mc205	mc205k1	mc205k1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.910	0.065	0.123	u	5.3	308.2		l	6.1	3.5	0.798	0.793	1.5		-20.8	5.7307e-05	4.6	9	5	3.000e-05	7	10.5	0.9711	-1
l	unknown	This study	McMurdo	mc206b	mc206	mc206b1	mc206b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	0.0	-2.589	0.126	0.326	u	7.0	302.9		l	6.5	7.4	0.736	0.657	2.3		8.2	7.7674e-05	5.6	7	5	3.000e-05	4	4.4	0.9222	-1
l	unknown	This study	McMurdo	mc206c	mc206	mc206c1	mc206c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	2.2	-3.171	0.095	0.302	u	7.1	307.8		l	20.8	22.7	0.799	0.747	3.2		19.6	9.5130e-05	3.2	8	5	3.000e-05	6	6.8	0.9464	-1
l	unknown	This study	McMurdo	mc206d	mc206	mc206d1	mc206d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	2.8	-3.863	0.149	0.575	u	6.0	324.6		l	28.0	44.6	0.748	0.732	2.4		36.0	1.1589e-04	2.8	8	5	3.000e-05	7	4.0	0.8714	-1
l	unknown	This study	McMurdo	mc206e	mc206	mc206e1	mc206e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	1.8	-4.753	0.169	0.804	u	4.9	318.9		l	34.7	77.1	0.721	0.742	2.8		38.9	1.4260e-04	2.5	8	5	3.000e-05	7	3.4	0.8356	-1
l	unknown	This study	McMurdo	mc206f	mc206	mc206f1	mc206f1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	0.0	-3.922	0.137	0.539	u	5.4	301.4		l	15.0	28.1	0.729	0.755	2.5		-10.6	1.1767e-04	3.0	8	5	3.000e-05	4	4.3	0.8899	-1
l	unknown	This study	McMurdo	mc208b	mc208	mc208b1	mc208b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	0.0	-0.766	0.103	0.079	u	18.0	356.1		l	8.6	2.8	0.823	0.500	1.7		-23.5	2.2966e-05	10.5	7	5	3.000e-05	5	6.2	0.9477	-1
l	unknown	This study	McMurdo	mc211e	mc211	mc211e1	mc211e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	0.0	-2.507	0.065	0.163	u	5.1	2.0		l	10.8	3.7	0.767	0.740	1.2		-5.4	7.5197e-05	4.0	8	5	3.000e-05	10	8.5	0.9748	-1
l	unknown	This study	McMurdo	mc211g	mc211	mc211g1	mc211g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	0.0	-2.454	0.112	0.276	u	6.2	20.1		l	28.8	22.2	0.798	0.742	3.3		23.7	7.3629e-05	3.2	8	5	3.000e-05	13	5.0	0.9255	-1
