tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	McMurdo	mc219b	mc219	mc219b1	mc219b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.157	0.148	0.171	u	4.4	194.2		l	2.5	5.1	1.097	0.909	2.1		18.9	3.4700e-05	3.9	9	5	3.000e-05	5	6.4	0.8533	-1
l	unknown	This study	McMurdo	mc219c	mc219	mc219c1	mc219c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	1.2	-0.925	0.131	0.121	u	0.6	209.6		l	5.5	10.4	1.089	0.937	1.7		69.8	2.7749e-05	1.9	11	5	3.000e-05	9	7.3	0.8518	-1
l	unknown	This study	McMurdo	mc219d	mc219	mc219d1	mc219d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.875	0.130	0.114	u	0.7	219.0		l	4.9	9.1	1.088	0.933	3.4		73.2	2.6239e-05	1.7	11	5	3.000e-05	8	7.3	0.8535	-1
l	unknown	This study	McMurdo	mc219e	mc219	mc219e1	mc219e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	4.730e+02	K	0.0	-1.119	0.048	0.054	u	0.1	222.6		l	3.3	4.7	0.972	0.935	0.9		70.0	3.3582e-05	1.0	10	5	3.000e-05	7	15.7	0.9815	-1
l	unknown	This study	McMurdo	mc220a	mc220	mc220a1	mc220a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.807	0.068	0.123	u	1.4	6.4		l	9.4	18.1	1.035	0.909	0.0		-7.9	5.4211e-05	2.7	11	5	3.000e-05	4	12.6	0.9584	-1
l	unknown	This study	McMurdo	mc220b	mc220	mc220b1	mc220b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	4.730e+02	K	0.0	-1.830	0.065	0.118	u	0.9	7.1		l	9.3	9.2	0.989	0.883	5.7		-8.0	5.4910e-05	1.9	10	5	3.000e-05	3	12.5	0.9668	-1
l	unknown	This study	McMurdo	mc220c	mc220	mc220c1	mc220c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.765	0.063	0.112	u	1.4	11.1		l	8.5	15.9	1.040	0.900	3.7		0.0	5.2954e-05	2.5	11	5	3.000e-05	3	13.6	0.9643	-1
l	unknown	This study	McMurdo	mc220d	mc220	mc220d1	mc220d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.837	0.075	0.138	u	1.6	1.7		l	12.1	10.8	1.041	0.945	1.7		-5.7	5.5099e-05	2.4	11	5	3.000e-05	4	11.6	0.9497	-1
l	unknown	This study	McMurdo	mc220e	mc220	mc220e1	mc220e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.480e+02	3.730e+02	K	1.3	-1.759	0.112	0.197	u	3.3	8.7		l	12.7	9.6	1.079	0.945	1.9		5.1	5.2783e-05	3.1	10	5	3.000e-05	7	8.3	0.9021	-1
l	unknown	This study	McMurdo	mc222b	mc222	mc222b1	mc222b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	5.730e+02	2.730e+02	K	0.0	-0.422	0.057	0.024	u	4.9	8.5		l	1.5	1.5	0.649	0.259	3.2		-8.2	1.2673e-05	4.2	4	5	3.000e-05	5	6.4	0.9936	-1
l	unknown	This study	McMurdo	mc223a	mc223	mc223a1	mc223a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.717	0.075	0.054	u	2.4	356.0		l	4.7	16.8	1.063	0.857	1.3		-15.8	2.1524e-05	3.8	11	5	3.000e-05	3	12.2	0.9497	-1
l	unknown	This study	McMurdo	mc223b	mc223	mc223b1	mc223b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.716	0.082	0.059	u	2.7	358.8		l	5.6	15.3	1.051	0.825	0.3		-18.8	2.1484e-05	4.3	11	5	3.000e-05	3	11.1	0.9404	-1
l	unknown	This study	McMurdo	mc223c	mc223	mc223c2	mc223c2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-0.826	0.089	0.074	u	4.9	359.2		l	6.8	15.3	0.914	0.710	1.0		-13.9	2.4791e-05	5.4	9	5	3.000e-05	3	8.5	0.9449	-1
l	unknown	This study	McMurdo	mc223g	mc223	mc223g1	mc223g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-0.610	0.105	0.064	u	6.9	355.1		l	18.9	15.0	0.884	0.570	1.4		-31.5	1.8310e-05	5.7	9	5	3.000e-05	1	6.7	0.9250	-1
l	unknown	This study	McMurdo	mc223l	mc223	mc223l1	mc223l1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.730e+02	K	0.0	-0.550	0.056	0.031	u	1.3	347.3		l	7.6	20.8	0.925	0.711	1.1		-33.5	1.6496e-05	2.4	7	5	3.000e-05	2	13.2	0.9845	-1
l	unknown	This study	McMurdo	mc225a	mc225	mc225a1	mc225a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	0.0	-0.851	0.069	0.059	u	14.5	348.5		l	5.0	5.0	0.717	0.489	1.9		0.1	2.5519e-05	9.6	7	5	3.000e-05	2	8.0	0.9760	-1
l	unknown	This study	McMurdo	mc225b	mc225	mc225b1	mc225b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.862	0.065	0.056	u	5.7	343.7		l	6.9	3.1	0.972	0.761	1.6		-9.4	2.5847e-05	7.1	11	5	3.000e-05	1	13.1	0.9626	-1
l	unknown	This study	McMurdo	mc225c	mc225	mc225c1	mc225c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.865	0.068	0.058	u	4.9	345.7		l	5.7	0.5	0.994	0.814	1.1		-1.0	2.5956e-05	6.4	11	5	3.000e-05	3	12.9	0.9593	-1
l	unknown	This study	McMurdo	mc225d	mc225	mc225d1	mc225d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	2.730e+02	K	0.0	-1.012	0.090	0.092	u	12.3	351.6		l	18.2	1.4	0.989	0.644	0.7		9.6	3.0360e-05	6.2	8	5	3.000e-05	4	8.7	0.9515	-1
l	unknown	This study	McMurdo	mc225i	mc225	mc225i1	mc225i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	2.730e+02	K	0.0	-1.068	0.078	0.083	u	11.2	344.9		l	13.7	1.8	0.880	0.621	1.4		-4.5	3.2043e-05	7.1	8	5	3.000e-05	3	9.2	0.9638	-1
l	unknown	This study	McMurdo	mc226b	mc226	mc226b1	mc226b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	2.730e+02	K	0.0	-0.843	0.065	0.055	u	8.1	331.5		l	7.4	11.2	0.971	0.755	0.3		-28.7	2.5277e-05	5.3	8	5	3.000e-05	3	10.6	0.9750	-1
l	unknown	This study	McMurdo	mc227b	mc227	mc227b1	mc227b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	1.1	-0.497	0.152	0.075	u	14.5	286.8		l	26.3	32.4	0.765	0.425	1.1		71.4	1.4907e-05	6.9	7	5	3.000e-05	5	3.4	0.8885	-1
l	unknown	This study	McMurdo	mc228a	mc228	mc228a1	mc228a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.480e+02	3.730e+02	K	0.0	-0.352	0.048	0.017	u	3.3	104.2		l	35.0	43.3	0.955	0.846	5.4		56.4	1.0568e-05	3.0	10	5	3.000e-05	10	16.3	0.9818	-1
l	unknown	This study	McMurdo	mc228b	mc228	mc228b1	mc228b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-0.352	0.049	0.017	u	1.5	147.8		l	38.7	47.9	0.892	0.821	12.1		50.6	1.0556e-05	3.1	9	5	3.000e-05	11	14.5	0.9834	-1
l	unknown	This study	McMurdo	mc228d	mc228	mc228d1	mc228d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.439	0.043	0.019	u	2.1	350.3		l	25.8	37.6	0.976	0.925	3.5		73.5	1.3165e-05	1.6	11	5	3.000e-05	14	18.8	0.9836	-1
l	unknown	This study	McMurdo	mc228e	mc228	mc228e1	mc228e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.410	0.032	0.013	u	2.1	112.3		l	26.1	33.5	0.987	0.939	6.7		72.7	1.2293e-05	2.3	11	5	3.000e-05	7	25.4	0.9906	-1
l	unknown	This study	McMurdo	mc228g	mc228	mc228g1	mc228g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.578	0.026	0.015	u	1.7	238.9		l	17.2	24.2	0.976	0.920	9.2		64.4	1.7339e-05	2.2	11	5	3.000e-05	5	30.3	0.9941	-1
l	unknown	This study	McMurdo	mc229g	mc229	mc229g1	mc229g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.141	0.114	0.130	u	3.7	166.3		l	4.1	2.4	1.075	0.912	1.6		4.7	3.4233e-05	3.1	11	5	3.000e-05	4	8.3	0.8865	-1
l	unknown	This study	McMurdo	mc229i	mc229	mc229i1	mc229i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	1.9	-1.014	0.149	0.152	u	6.0	163.8		l	4.4	7.4	0.951	0.806	0.9		35.3	3.0434e-05	4.6	9	5	3.000e-05	4	5.4	0.8499	-1
l	unknown	This study	McMurdo	mc229k	mc229	mc229k1	mc229k1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.089	0.136	0.148	u	4.3	165.9		l	1.8	4.1	0.922	0.806	3.2		16.2	3.2671e-05	3.9	9	5	3.000e-05	4	5.7	0.8749	-1
