tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	19-1-094	19-1-094	2604	19-1-094	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.63	Not Specified	Sediment Layer	0.000001	0.001709
This study	DSDP Site 522	19-1-098	19-1-098	2605	19-1-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.67	Not Specified	Sediment Layer	0.000001	0.001584
This study	DSDP Site 522	19-1-100	19-1-100	2606	19-1-100	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.69	Not Specified	Sediment Layer	0.000001	0.001521
This study	DSDP Site 522	19-1-103	19-1-103	2607	19-1-103	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.73	Not Specified	Sediment Layer	0.000001	0.001463
This study	DSDP Site 522	19-1-106	19-1-106	2608	19-1-106	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.76	Not Specified	Sediment Layer	0.000001	0.001497
This study	DSDP Site 522	19-1-109	19-1-109	2609	19-1-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.79	Not Specified	Sediment Layer	0.000001	0.001757
This study	DSDP Site 522	19-1-113	19-1-113	2610	19-1-113	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.83	Not Specified	Sediment Layer	0.000001	0.001517
This study	DSDP Site 522	19-1-117	19-1-117	2611	19-1-117	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.87	Not Specified	Sediment Layer	0.000001	0.001632
This study	DSDP Site 522	19-1-121	19-1-121	2612	19-1-121	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.9	Not Specified	Sediment Layer	0.000001	0.001539
This study	DSDP Site 522	19-1-124	19-1-124	2613	19-1-124	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.94	Not Specified	Sediment Layer	0.000001	0.001441
This study	DSDP Site 522	19-1-128	19-1-128	2614	19-1-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	73.97	Not Specified	Sediment Layer	0.000001	0.001363
This study	DSDP Site 522	19-1-131	19-1-131	2615	19-1-131	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.01	Not Specified	Sediment Layer	0.000001	0.001395
This study	DSDP Site 522	19-1-135	19-1-135	2616	19-1-135	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.04	Not Specified	Sediment Layer	0.000001	0.001845
This study	DSDP Site 522	19-1-137	19-1-137	2617	19-1-137	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.07	Not Specified	Sediment Layer	0.000001	0.001474
This study	DSDP Site 522	19-1-140	19-1-140	2618	19-1-140	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.1	Not Specified	Sediment Layer	0.000001	0.001653
This study	DSDP Site 522	19-1-144	19-1-144	2619	19-1-144	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.13	Not Specified	Sediment Layer	0.000001	0.001595
This study	DSDP Site 522	19-1-147	19-1-147	2620	19-1-147	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.16	Not Specified	Sediment Layer	0.000001	0.001617
This study	DSDP Site 522	19-1-150	19-1-150	2621	19-1-150	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.19	Not Specified	Sediment Layer	0.000001	0.001582
This study	DSDP Site 522	19-2-001	19-2-001	2622	19-2-001	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.21	Not Specified	Sediment Layer	0.000001	0.001386
This study	DSDP Site 522	19-2-004	19-2-004	2623	19-2-004	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.24	Not Specified	Sediment Layer	0.000001	0.001633
This study	DSDP Site 522	19-2-008	19-2-008	2624	19-2-008	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.27	Not Specified	Sediment Layer	0.000001	0.00136
This study	DSDP Site 522	19-2-010	19-2-010	2625	19-2-010	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.3	Not Specified	Sediment Layer	0.000001	0.001672
This study	DSDP Site 522	19-2-014	19-2-014	2626	19-2-014	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.33	Not Specified	Sediment Layer	0.000001	0.001662
This study	DSDP Site 522	19-2-017	19-2-017	2627	19-2-017	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.37	Not Specified	Sediment Layer	0.000001	0.001758
This study	DSDP Site 522	19-2-020	19-2-020	2628	19-2-020	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.39	Not Specified	Sediment Layer	0.000001	0.0016
This study	DSDP Site 522	19-2-025	19-2-025	2629	19-2-025	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.44	Not Specified	Sediment Layer	0.000001	0.001836
This study	DSDP Site 522	19-2-028	19-2-028	2630	19-2-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.47	Not Specified	Sediment Layer	0.000001	0.00156
This study	DSDP Site 522	19-2-032	19-2-032	2631	19-2-032	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.52	Not Specified	Sediment Layer	0.000001	0.001683
This study	DSDP Site 522	19-2-035	19-2-035	2632	19-2-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.55	Not Specified	Sediment Layer	0.000001	0.001631
This study	DSDP Site 522	19-2-039	19-2-039	2633	19-2-039	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.58	Not Specified	Sediment Layer	0.000001	0.001652
This study	DSDP Site 522	19-2-042	19-2-042	2634	19-2-042	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.61	Not Specified	Sediment Layer	0.000001	0.00161
This study	DSDP Site 522	19-2-045	19-2-045	2635	19-2-045	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.65	Not Specified	Sediment Layer	0.000001	0.001437
This study	DSDP Site 522	19-2-048	19-2-048	2636	19-2-048	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.68	Not Specified	Sediment Layer	0.000001	0.001484
This study	DSDP Site 522	19-2-051	19-2-051	2637	19-2-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.7	Not Specified	Sediment Layer	0.000001	0.001483
This study	DSDP Site 522	19-2-055	19-2-055	2638	19-2-055	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.74	Not Specified	Sediment Layer	0.000001	0.001839
This study	DSDP Site 522	19-2-057	19-2-057	2639	19-2-057	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.77	Not Specified	Sediment Layer	0.000001	0.001548
This study	DSDP Site 522	19-2-062	19-2-062	2640	19-2-062	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.81	Not Specified	Sediment Layer	0.000001	0.001705
This study	DSDP Site 522	19-2-065	19-2-065	2641	19-2-065	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.84	Not Specified	Sediment Layer	0.000001	0.001652
This study	DSDP Site 522	19-2-069	19-2-069	2642	19-2-069	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.88	Not Specified	Sediment Layer	0.000001	0.00173
This study	DSDP Site 522	19-2-072	19-2-072	2643	19-2-072	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.91	Not Specified	Sediment Layer	0.000001	0.001699
This study	DSDP Site 522	19-2-076	19-2-076	2644	19-2-076	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.95	Not Specified	Sediment Layer	0.000001	0.001712
This study	DSDP Site 522	19-2-079	19-2-079	2645	19-2-079	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	74.98	Not Specified	Sediment Layer	0.000001	0.001592
This study	DSDP Site 522	19-2-082	19-2-082	2646	19-2-082	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.02	Not Specified	Sediment Layer	0.000001	0.001652
This study	DSDP Site 522	19-2-085	19-2-085	2647	19-2-085	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.05	Not Specified	Sediment Layer	0.000001	0.001758
This study	DSDP Site 522	19-2-090	19-2-090	2648	19-2-090	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.09	Not Specified	Sediment Layer	0.000001	0.001646
This study	DSDP Site 522	19-2-092	19-2-092	2649	19-2-092	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.12	Not Specified	Sediment Layer	0.000001	0.001435
This study	DSDP Site 522	19-2-096	19-2-096	2650	19-2-096	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.16	Not Specified	Sediment Layer	0.000001	0.001514
This study	DSDP Site 522	19-2-100	19-2-100	2651	19-2-100	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.19	Not Specified	Sediment Layer	0.000001	0.001705
This study	DSDP Site 522	19-2-102	19-2-102	2652	19-2-102	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.22	Not Specified	Sediment Layer	0.000001	0.001504
This study	DSDP Site 522	19-2-106	19-2-106	2653	19-2-106	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.25	Not Specified	Sediment Layer	0.000001	0.001628
This study	DSDP Site 522	19-2-109	19-2-109	2654	19-2-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.28	Not Specified	Sediment Layer	0.000001	0.00155
This study	DSDP Site 522	19-2-112	19-2-112	2655	19-2-112	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.32	Not Specified	Sediment Layer	0.000001	0.001677
This study	DSDP Site 522	19-2-115	19-2-115	2656	19-2-115	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.34	Not Specified	Sediment Layer	0.000001	0.001275
This study	DSDP Site 522	19-2-118	19-2-118	2657	19-2-118	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.38	Not Specified	Sediment Layer	0.000001	0.001559
This study	DSDP Site 522	19-2-122	19-2-122	2658	19-2-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.41	Not Specified	Sediment Layer	0.000001	0.001546
This study	DSDP Site 522	19-2-125	19-2-125	2659	19-2-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.44	Not Specified	Sediment Layer	0.000001	0.001571
This study	DSDP Site 522	19-2-128	19-2-128	2660	19-2-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.48	Not Specified	Sediment Layer	0.000001	0.001451
This study	DSDP Site 522	19-2-131	19-2-131	2661	19-2-131	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.51	Not Specified	Sediment Layer	0.000001	0.001444
This study	DSDP Site 522	19-2-135	19-2-135	2662	19-2-135	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.55	Not Specified	Sediment Layer	0.000001	0.001528
This study	DSDP Site 522	19-2-138	19-2-138	2663	19-2-138	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.58	Not Specified	Sediment Layer	0.000001	0.00164
This study	DSDP Site 522	19-2-142	19-2-142	2664	19-2-142	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.62	Not Specified	Sediment Layer	0.000001	0.00167
This study	DSDP Site 522	19-2-145	19-2-145	2665	19-2-145	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.65	Not Specified	Sediment Layer	0.000001	0.001828
This study	DSDP Site 522	19-2-148	19-2-148	2666	19-2-148	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.68	Not Specified	Sediment Layer	0.000001	0.001626
This study	DSDP Site 522	19-3-001	19-3-001	2667	19-3-001	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.7	Not Specified	Sediment Layer	0.000001	0.001786
This study	DSDP Site 522	19-3-004	19-3-004	2668	19-3-004	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.73	Not Specified	Sediment Layer	0.000001	0.001518
This study	DSDP Site 522	19-3-007	19-3-007	2669	19-3-007	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.76	Not Specified	Sediment Layer	0.000001	0.001767
This study	DSDP Site 522	19-3-010	19-3-010	2670	19-3-010	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.8	Not Specified	Sediment Layer	0.000001	0.001944
This study	DSDP Site 522	19-3-013	19-3-013	2671	19-3-013	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.82	Not Specified	Sediment Layer	0.000001	0.001692
This study	DSDP Site 522	19-3-017	19-3-017	2672	19-3-017	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.86	Not Specified	Sediment Layer	0.000001	0.001827
This study	DSDP Site 522	19-3-020	19-3-020	2673	19-3-020	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.9	Not Specified	Sediment Layer	0.000001	0.001797
This study	DSDP Site 522	19-3-023	19-3-023	2674	19-3-023	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.93	Not Specified	Sediment Layer	0.000001	0.001749
This study	DSDP Site 522	19-3-026	19-3-026	2675	19-3-026	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.96	Not Specified	Sediment Layer	0.000001	0.001631
This study	DSDP Site 522	19-3-030	19-3-030	2676	19-3-030	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	75.99	Not Specified	Sediment Layer	0.000001	0.001414
This study	DSDP Site 522	19-3-034	19-3-034	2677	19-3-034	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.04	Not Specified	Sediment Layer	0.000001	0.001664
This study	DSDP Site 522	19-3-038	19-3-038	2678	19-3-038	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.07	Not Specified	Sediment Layer	0.000001	0.001434
This study	DSDP Site 522	19-3-041	19-3-041	2679	19-3-041	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.11	Not Specified	Sediment Layer	0.000001	0.001722
This study	DSDP Site 522	19-3-044	19-3-044	2680	19-3-044	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.14	Not Specified	Sediment Layer	0.000001	0.001859
This study	DSDP Site 522	19-3-046	19-3-046	2681	19-3-046	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.16	Not Specified	Sediment Layer	0.000001	0.00149
This study	DSDP Site 522	19-3-050	19-3-050	2682	19-3-050	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.2	Not Specified	Sediment Layer	0.000001	0.001557
This study	DSDP Site 522	19-3-053	19-3-053	2683	19-3-053	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.23	Not Specified	Sediment Layer	0.000001	0.001625
This study	DSDP Site 522	19-3-058	19-3-058	2684	19-3-058	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.28	Not Specified	Sediment Layer	0.000001	0.001524
This study	DSDP Site 522	19-3-060	19-3-060	2685	19-3-060	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.3	Not Specified	Sediment Layer	0.000001	0.001541
This study	DSDP Site 522	19-3-063	19-3-063	2686	19-3-063	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.33	Not Specified	Sediment Layer	0.000001	0.001693
This study	DSDP Site 522	19-3-066	19-3-066	2687	19-3-066	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.36	Not Specified	Sediment Layer	0.000001	0.001597
This study	DSDP Site 522	19-3-070	19-3-070	2688	19-3-070	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.39	Not Specified	Sediment Layer	0.000001	0.001661
This study	DSDP Site 522	19-3-072	19-3-072	2689	19-3-072	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.42	Not Specified	Sediment Layer	0.000001	0.001701
This study	DSDP Site 522	19-3-076	19-3-076	2690	19-3-076	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.46	Not Specified	Sediment Layer	0.000001	0.001582
This study	DSDP Site 522	19-3-080	19-3-080	2691	19-3-080	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.49	Not Specified	Sediment Layer	0.000001	0.001554
This study	DSDP Site 522	19-3-083	19-3-083	2692	19-3-083	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.53	Not Specified	Sediment Layer	0.000001	0.001571
This study	DSDP Site 522	19-3-086	19-3-086	2693	19-3-086	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.55	Not Specified	Sediment Layer	0.000001	0.001566
This study	DSDP Site 522	19-3-092	19-3-092	2694	19-3-092	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.61	Not Specified	Sediment Layer	0.000001	0.00147
This study	DSDP Site 522	19-3-095	19-3-095	2695	19-3-095	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.64	Not Specified	Sediment Layer	0.000001	0.001717
This study	DSDP Site 522	19-3-098	19-3-098	2696	19-3-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.67	Not Specified	Sediment Layer	0.000001	0.001612
This study	DSDP Site 522	19-3-101	19-3-101	2697	19-3-101	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.71	Not Specified	Sediment Layer	0.000001	0.001461
This study	DSDP Site 522	19-3-104	19-3-104	2698	19-3-104	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.74	Not Specified	Sediment Layer	0.000001	0.001546
This study	DSDP Site 522	19-3-108	19-3-108	2699	19-3-108	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.77	Not Specified	Sediment Layer	0.000001	0.001533
This study	DSDP Site 522	19-3-111	19-3-111	2700	19-3-111	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.8	Not Specified	Sediment Layer	0.000001	0.001666
This study	DSDP Site 522	19-3-114	19-3-114	2701	19-3-114	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.83	Not Specified	Sediment Layer	0.000001	0.001615
This study	DSDP Site 522	19-3-117	19-3-117	2702	19-3-117	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	76.87	Not Specified	Sediment Layer	0.000001	0.001733
This study	DSDP Site 522	20-1-012	20-1-012	2507	20-1-012	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.42	Not Specified	Sediment Layer	0.000001	0.001561
This study	DSDP Site 522	20-1-015	20-1-015	2508	20-1-015	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.45	Not Specified	Sediment Layer	0.000001	0.001326
This study	DSDP Site 522	20-1-017	20-1-017	2509	20-1-017	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.47	Not Specified	Sediment Layer	0.000001	0.001532
This study	DSDP Site 522	20-1-020	20-1-020	2510	20-1-020	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.5	Not Specified	Sediment Layer	0.000001	0.001443
This study	DSDP Site 522	20-1-024	20-1-024	2511	20-1-024	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.53	Not Specified	Sediment Layer	0.000001	0.001479
This study	DSDP Site 522	20-1-028	20-1-028	2512	20-1-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.57	Not Specified	Sediment Layer	0.000001	0.001535
This study	DSDP Site 522	20-1-031	20-1-031	2513	20-1-031	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.6	Not Specified	Sediment Layer	0.000001	0.001492
This study	DSDP Site 522	20-1-035	20-1-035	2514	20-1-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.64	Not Specified	Sediment Layer	0.000001	0.001428
This study	DSDP Site 522	20-1-039	20-1-039	2515	20-1-039	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.68	Not Specified	Sediment Layer	0.000001	0.001455
This study	DSDP Site 522	20-1-043	20-1-043	2516	20-1-043	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.72	Not Specified	Sediment Layer	0.000001	0.001415
This study	DSDP Site 522	20-1-045	20-1-045	2517	20-1-045	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.74	Not Specified	Sediment Layer	0.000001	0.001518
This study	DSDP Site 522	20-1-049	20-1-049	2518	20-1-049	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.79	Not Specified	Sediment Layer	0.000001	0.00168
This study	DSDP Site 522	20-1-051	20-1-051	2519	20-1-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.81	Not Specified	Sediment Layer	0.000001	0.001383
This study	DSDP Site 522	20-1-055	20-1-055	2520	20-1-055	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.85	Not Specified	Sediment Layer	0.000001	0.001491
This study	DSDP Site 522	20-1-059	20-1-059	2521	20-1-059	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.88	Not Specified	Sediment Layer	0.000001	0.001324
This study	DSDP Site 522	20-1-062	20-1-062	2522	20-1-062	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.92	Not Specified	Sediment Layer	0.000001	0.001638
This study	DSDP Site 522	20-1-065	20-1-065	2523	20-1-065	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.94	Not Specified	Sediment Layer	0.000001	0.001524
This study	DSDP Site 522	20-1-068	20-1-068	2524	20-1-068	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	77.98	Not Specified	Sediment Layer	0.000001	0.001385
This study	DSDP Site 522	20-1-071	20-1-071	2525	20-1-071	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.01	Not Specified	Sediment Layer	0.000001	0.001266
This study	DSDP Site 522	20-1-075	20-1-075	2526	20-1-075	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.04	Not Specified	Sediment Layer	0.000001	0.001503
This study	DSDP Site 522	20-1-080	20-1-080	2527	20-1-080	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.09	Not Specified	Sediment Layer	0.000001	0.0016
This study	DSDP Site 522	20-1-083	20-1-083	2528	20-1-083	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.12	Not Specified	Sediment Layer	0.000001	0.001612
This study	DSDP Site 522	20-1-086	20-1-086	2529	20-1-086	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.15	Not Specified	Sediment Layer	0.000001	0.001544
This study	DSDP Site 522	20-1-089	20-1-089	2530	20-1-089	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.18	Not Specified	Sediment Layer	0.000001	0.001693
This study	DSDP Site 522	20-1-091	20-1-091	2531	20-1-091	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.21	Not Specified	Sediment Layer	0.000001	0.001477
This study	DSDP Site 522	20-1-095	20-1-095	2532	20-1-095	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.24	Not Specified	Sediment Layer	0.000001	0.001401
This study	DSDP Site 522	20-1-098	20-1-098	2533	20-1-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.28	Not Specified	Sediment Layer	0.000001	0.001565
This study	DSDP Site 522	20-1-103	20-1-103	2534	20-1-103	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.32	Not Specified	Sediment Layer	0.000001	0.001767
This study	DSDP Site 522	20-1-105	20-1-105	2535	20-1-105	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.35	Not Specified	Sediment Layer	0.000001	0.001326
This study	DSDP Site 522	20-1-109	20-1-109	2536	20-1-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.39	Not Specified	Sediment Layer	0.000001	0.001576
This study	DSDP Site 522	20-1-112	20-1-112	2537	20-1-112	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.42	Not Specified	Sediment Layer	0.000001	0.001574
This study	DSDP Site 522	20-1-116	20-1-116	2538	20-1-116	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.45	Not Specified	Sediment Layer	0.000001	0.00151
This study	DSDP Site 522	20-1-119	20-1-119	2539	20-1-119	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.48	Not Specified	Sediment Layer	0.000001	0.001564
This study	DSDP Site 522	20-1-122	20-1-122	2541	20-1-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.52	Not Specified	Sediment Layer	0.000001	0.001653
This study	DSDP Site 522	20-1-125	20-1-125	2542	20-1-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.54	Not Specified	Sediment Layer	0.000001	0.001692
This study	DSDP Site 522	20-1-129	20-1-129	2543	20-1-129	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.58	Not Specified	Sediment Layer	0.000001	0.001616
This study	DSDP Site 522	20-1-132	20-1-132	2544	20-1-132	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.61	Not Specified	Sediment Layer	0.000001	0.001587
This study	DSDP Site 522	20-1-135	20-1-135	2545	20-1-135	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.64	Not Specified	Sediment Layer	0.000001	0.001362
This study	DSDP Site 522	20-1-138	20-1-138	2546	20-1-138	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.67	Not Specified	Sediment Layer	0.000001	0.001339
This study	DSDP Site 522	20-1-142	20-1-142	2547	20-1-142	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.71	Not Specified	Sediment Layer	0.000001	0.001711
This study	DSDP Site 522	20-1-144	20-1-144	2548	20-1-144	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.74	Not Specified	Sediment Layer	0.000001	0.001401
This study	DSDP Site 522	20-1-150	20-1-150	2549	20-1-150	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.79	Not Specified	Sediment Layer	0.000001	0.001495
This study	DSDP Site 522	20-2-001	20-2-001	2551	20-2-001	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.81	Not Specified	Sediment Layer	0.000001	0.001503
This study	DSDP Site 522	20-2-004	20-2-004	2552	20-2-004	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.84	Not Specified	Sediment Layer	0.000001	0.001372
This study	DSDP Site 522	20-2-007	20-2-007	2553	20-2-007	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.87	Not Specified	Sediment Layer	0.000001	0.001378
This study	DSDP Site 522	20-2-010	20-2-010	2554	20-2-010	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.9	Not Specified	Sediment Layer	0.000001	0.001335
This study	DSDP Site 522	20-2-015	20-2-015	2555	20-2-015	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	78.94	Not Specified	Sediment Layer	0.000001	0.001445
