tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	15-1-118	15-1-118	3143	15-1-118	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.28	Not Specified	Sediment Layer	0.000001	0.001877
This study	DSDP Site 522	15-1-122	15-1-122	3144	15-1-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.31	Not Specified	Sediment Layer	0.000001	0.00148
This study	DSDP Site 522	15-1-125	15-1-125	3145	15-1-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.34	Not Specified	Sediment Layer	0.000001	0.001836
This study	DSDP Site 522	15-1-128	15-1-128	3146	15-1-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.37	Not Specified	Sediment Layer	0.000001	0.001231
This study	DSDP Site 522	15-1-131	15-1-131	3147	15-1-131	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.4	Not Specified	Sediment Layer	0.000001	0.001604
This study	DSDP Site 522	15-1-134	15-1-134	3148	15-1-134	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.44	Not Specified	Sediment Layer	0.000001	0.001241
This study	DSDP Site 522	15-1-137	15-1-137	3149	15-1-137	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.47	Not Specified	Sediment Layer	0.000001	0.001494
This study	DSDP Site 522	15-1-140	15-1-140	3150	15-1-140	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.5	Not Specified	Sediment Layer	0.000001	0.001516
This study	DSDP Site 522	15-1-144	15-1-144	3151	15-1-144	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.53	Not Specified	Sediment Layer	0.000001	0.001631
This study	DSDP Site 522	15-1-147	15-1-147	3152	15-1-147	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.56	Not Specified	Sediment Layer	0.000001	0.001686
This study	DSDP Site 522	15-1-149	15-1-149	3153	15-1-149	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.59	Not Specified	Sediment Layer	0.000001	0.001106
This study	DSDP Site 522	15-2-003	15-2-003	3154	15-2-003	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.62	Not Specified	Sediment Layer	0.000001	0.001707
This study	DSDP Site 522	15-2-005	15-2-005	3155	15-2-005	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.65	Not Specified	Sediment Layer	0.000001	0.001674
This study	DSDP Site 522	15-2-008	15-2-008	3156	15-2-008	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.68	Not Specified	Sediment Layer	0.000001	0.001635
This study	DSDP Site 522	15-2-012	15-2-012	3157	15-2-012	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.71	Not Specified	Sediment Layer	0.000001	0.001684
This study	DSDP Site 522	15-2-014	15-2-014	3158	15-2-014	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.74	Not Specified	Sediment Layer	0.000001	0.001647
This study	DSDP Site 522	15-2-019	15-2-019	3159	15-2-019	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.78	Not Specified	Sediment Layer	0.000001	0.001632
This study	DSDP Site 522	15-2-021	15-2-021	3160	15-2-021	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.81	Not Specified	Sediment Layer	0.000001	0.00145
This study	DSDP Site 522	15-2-024	15-2-024	3161	15-2-024	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.84	Not Specified	Sediment Layer	0.000001	0.001551
This study	DSDP Site 522	15-2-027	15-2-027	3162	15-2-027	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.87	Not Specified	Sediment Layer	0.000001	0.001593
This study	DSDP Site 522	15-2-030	15-2-030	3163	15-2-030	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.9	Not Specified	Sediment Layer	0.000001	0.001212
This study	DSDP Site 522	15-2-034	15-2-034	3164	15-2-034	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.93	Not Specified	Sediment Layer	0.000001	0.001545
This study	DSDP Site 522	15-2-037	15-2-037	3165	15-2-037	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	56.97	Not Specified	Sediment Layer	0.000001	0.001222
This study	DSDP Site 522	15-2-040	15-2-040	3166	15-2-040	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57	Not Specified	Sediment Layer	0.000001	0.001581
This study	DSDP Site 522	15-2-043	15-2-043	3167	15-2-043	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.03	Not Specified	Sediment Layer	0.000001	0.001205
This study	DSDP Site 522	15-2-046	15-2-046	3168	15-2-046	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.05	Not Specified	Sediment Layer	0.000001	0.001725
This study	DSDP Site 522	15-2-050	15-2-050	3169	15-2-050	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.09	Not Specified	Sediment Layer	0.000001	0.001131
This study	DSDP Site 522	15-2-055	15-2-055	3170	15-2-055	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.14	Not Specified	Sediment Layer	0.000001	0.001372
This study	DSDP Site 522	15-2-058	15-2-058	3171	15-2-058	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.18	Not Specified	Sediment Layer	0.000001	0.001038
This study	DSDP Site 522	15-2-061	15-2-061	3172	15-2-061	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.2	Not Specified	Sediment Layer	0.000001	0.001082
This study	DSDP Site 522	15-2-064	15-2-064	3173	15-2-064	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.23	Not Specified	Sediment Layer	0.000001	0.001547
This study	DSDP Site 522	15-2-067	15-2-067	3174	15-2-067	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.26	Not Specified	Sediment Layer	0.000001	0.001695
This study	DSDP Site 522	15-2-070	15-2-070	3175	15-2-070	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.29	Not Specified	Sediment Layer	0.000001	0.001705
This study	DSDP Site 522	15-2-073	15-2-073	3176	15-2-073	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.32	Not Specified	Sediment Layer	0.000001	0.00171
This study	DSDP Site 522	15-2-076	15-2-076	3177	15-2-076	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.36	Not Specified	Sediment Layer	0.000001	0.001419
This study	DSDP Site 522	15-2-079	15-2-079	3178	15-2-079	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.39	Not Specified	Sediment Layer	0.000001	0.001362
This study	DSDP Site 522	15-2-082	15-2-082	3179	15-2-082	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.42	Not Specified	Sediment Layer	0.000001	0.001898
This study	DSDP Site 522	15-2-085	15-2-085	3180	15-2-085	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.45	Not Specified	Sediment Layer	0.000001	0.001964
This study	DSDP Site 522	15-2-088	15-2-088	3181	15-2-088	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.48	Not Specified	Sediment Layer	0.000001	0.001892
This study	DSDP Site 522	15-2-091	15-2-091	3182	15-2-091	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.51	Not Specified	Sediment Layer	0.000001	0.00164
This study	DSDP Site 522	15-2-095	15-2-095	3183	15-2-095	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.54	Not Specified	Sediment Layer	0.000001	0.001569
This study	DSDP Site 522	15-2-098	15-2-098	3184	15-2-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.57	Not Specified	Sediment Layer	0.000001	0.00156
This study	DSDP Site 522	15-2-101	15-2-101	3185	15-2-101	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.6	Not Specified	Sediment Layer	0.000001	0.001534
This study	DSDP Site 522	15-2-104	15-2-104	3186	15-2-104	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.63	Not Specified	Sediment Layer	0.000001	0.001622
This study	DSDP Site 522	15-2-107	15-2-107	3187	15-2-107	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.66	Not Specified	Sediment Layer	0.000001	0.001742
This study	DSDP Site 522	15-2-109	15-2-109	3188	15-2-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.68	Not Specified	Sediment Layer	0.000001	0.001709
This study	DSDP Site 522	15-2-113	15-2-113	3189	15-2-113	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.73	Not Specified	Sediment Layer	0.000001	0.001761
This study	DSDP Site 522	15-2-116	15-2-116	3190	15-2-116	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.76	Not Specified	Sediment Layer	0.000001	0.001659
This study	DSDP Site 522	15-2-119	15-2-119	3191	15-2-119	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.79	Not Specified	Sediment Layer	0.000001	0.001528
This study	DSDP Site 522	15-2-123	15-2-123	3192	15-2-123	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.82	Not Specified	Sediment Layer	0.000001	0.001985
This study	DSDP Site 522	15-2-126	15-2-126	3193	15-2-126	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.85	Not Specified	Sediment Layer	0.000001	0.001787
This study	DSDP Site 522	15-2-128	15-2-128	3194	15-2-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.88	Not Specified	Sediment Layer	0.000001	0.001894
This study	DSDP Site 522	15-2-132	15-2-132	3195	15-2-132	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.91	Not Specified	Sediment Layer	0.000001	0.001716
This study	DSDP Site 522	15-2-135	15-2-135	3196	15-2-135	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.94	Not Specified	Sediment Layer	0.000001	0.001684
This study	DSDP Site 522	15-2-138	15-2-138	3197	15-2-138	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	57.97	Not Specified	Sediment Layer	0.000001	0.00151
This study	DSDP Site 522	15-2-141	15-2-141	3198	15-2-141	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58	Not Specified	Sediment Layer	0.000001	0.001582
This study	DSDP Site 522	15-2-143	15-2-143	3199	15-2-143	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.03	Not Specified	Sediment Layer	0.000001	0.001423
This study	DSDP Site 522	15-2-147	15-2-147	3200	15-2-147	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.06	Not Specified	Sediment Layer	0.000001	0.001354
This study	DSDP Site 522	15-2-150	15-2-150	3201	15-2-150	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.09	Not Specified	Sediment Layer	0.000001	0.0015
This study	DSDP Site 522	15-3-001	15-3-001	3202	15-3-001	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.1	Not Specified	Sediment Layer	0.000001	0.001704
This study	DSDP Site 522	15-3-004	15-3-004	3203	15-3-004	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.14	Not Specified	Sediment Layer	0.000001	0.001376
This study	DSDP Site 522	15-3-007	15-3-007	3204	15-3-007	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.17	Not Specified	Sediment Layer	0.000001	0.001587
