tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	15-1-137	15-1-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.47	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-140	15-1-140	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.5	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-144	15-1-144	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.53	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-147	15-1-147	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.56	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-149	15-1-149	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.59	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-003	15-2-003	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.62	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-005	15-2-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.65	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-008	15-2-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.68	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-012	15-2-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.71	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-014	15-2-014	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.74	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-019	15-2-019	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.78	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-021	15-2-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.81	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-024	15-2-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.84	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-027	15-2-027	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.87	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-030	15-2-030	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.9	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-034	15-2-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.93	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-037	15-2-037	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.97	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-040	15-2-040	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-043	15-2-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.03	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-046	15-2-046	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.05	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-050	15-2-050	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.09	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-055	15-2-055	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.14	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-058	15-2-058	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.18	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-061	15-2-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.2	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-064	15-2-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.23	-27	Not Specified	355	Sediment Layer
